timestamp,production_load_t,equipment_utilization_pct,ambient_temp_c,equipment_run_frac,furnace_kwh,compressor_kwh,ventilation_kwh,auxiliary_kwh,energy_kwh
2024-01-01 00:00:00,116.99,100.0,15.18,1.0,701.89,276.82,41.47,56.35,1076.52
2024-01-01 01:00:00,112.44,89.74,16.08,0.936,687.69,252.37,40.42,61.85,1042.33
2024-01-01 02:00:00,110.09,89.11,13.71,0.913,659.99,244.6,35.01,63.18,1002.78
2024-01-01 03:00:00,106.09,95.94,17.54,0.991,641.27,266.29,45.39,57.94,1010.88
2024-01-01 04:00:00,91.56,85.46,11.93,0.864,575.43,251.96,37.03,65.25,929.67
2024-01-01 05:00:00,86.07,80.76,17.18,0.823,539.44,231.48,41.76,61.0,873.68
2024-01-01 06:00:00,91.32,90.74,14.93,0.918,561.38,259.07,36.21,67.31,923.97
2024-01-01 07:00:00,90.08,85.98,16.51,0.86,558.45,245.66,49.93,64.65,918.68
2024-01-01 08:00:00,90.62,85.57,15.55,0.893,571.17,237.94,45.3,57.64,912.05
2024-01-01 09:00:00,102.17,94.98,15.52,0.968,635.9,260.65,36.9,65.28,998.72
2024-01-01 10:00:00,105.65,90.95,15.83,0.865,653.44,254.15,40.35,56.77,1004.72
2024-01-01 11:00:00,111.13,100.0,16.22,1.0,688.34,265.53,35.88,63.13,1052.89
2024-01-01 12:00:00,115.97,94.04,14.51,0.953,700.65,241.84,38.58,62.63,1043.7
2024-01-01 13:00:00,105.34,95.95,16.55,0.99,648.58,256.5,41.69,57.41,1004.18
2024-01-01 14:00:00,100.6,97.47,13.37,0.969,621.0,251.74,43.38,50.03,966.14
2024-01-01 15:00:00,97.75,81.99,14.99,0.86,607.14,227.67,35.05,67.39,937.24
2024-01-01 16:00:00,88.45,82.51,16.26,0.822,578.89,223.02,37.01,62.09,901.01
2024-01-01 17:00:00,88.27,89.84,16.49,0.935,563.42,253.95,43.77,60.1,921.25
2024-01-01 18:00:00,81.37,86.47,15.69,0.842,529.63,234.49,45.3,60.09,869.51
2024-01-01 19:00:00,81.36,79.82,14.41,0.779,517.64,230.89,36.91,64.87,850.31
2024-01-01 20:00:00,98.36,85.51,16.35,0.885,615.1,244.17,43.83,70.93,974.02
2024-01-01 21:00:00,99.1,94.33,14.0,0.927,620.75,262.3,35.06,64.51,982.62
2024-01-01 22:00:00,107.77,99.8,17.63,1.0,667.73,258.38,38.81,61.84,1026.76
2024-01-01 23:00:00,107.29,87.82,14.87,0.907,661.5,251.16,35.42,61.43,1009.51
2024-01-02 00:00:00,112.82,90.39,12.7,0.905,683.1,252.34,38.38,61.82,1035.64
2024-01-02 01:00:00,113.43,97.84,13.21,1.0,685.81,270.3,47.64,54.98,1058.73
2024-01-02 02:00:00,102.9,94.59,15.07,0.922,633.9,269.63,39.78,62.93,1006.24
2024-01-02 03:00:00,101.5,89.26,15.22,0.939,628.37,252.2,38.87,53.45,972.89
2024-01-02 04:00:00,90.1,88.45,17.96,0.929,580.63,238.64,37.74,62.21,919.22
2024-01-02 05:00:00,85.84,79.37,13.45,0.856,557.8,230.6,38.8,57.64,884.84
2024-01-02 06:00:00,82.59,70.72,15.07,0.685,538.99,199.5,36.77,64.33,839.58
2024-01-02 07:00:00,94.42,85.09,13.42,0.79,608.33,238.31,40.55,61.9,949.09
2024-01-02 08:00:00,92.45,86.54,14.27,0.835,560.98,238.71,39.87,58.25,897.81
2024-01-02 09:00:00,95.77,86.51,17.53,0.851,595.17,241.72,38.17,54.95,930.01
2024-01-02 10:00:00,110.79,89.6,13.3,0.979,673.86,239.11,37.82,67.38,1018.17
2024-01-02 11:00:00,108.11,84.98,15.89,0.96,655.16,230.08,40.73,59.57,985.54
2024-01-02 12:00:00,115.84,95.35,15.6,0.971,691.74,257.53,37.08,68.7,1055.05
2024-01-02 13:00:00,105.15,97.06,14.97,0.971,632.02,262.5,39.04,53.84,987.4
2024-01-02 14:00:00,102.19,97.37,15.79,0.956,628.45,261.93,38.2,58.74,987.31
2024-01-02 15:00:00,100.79,96.33,13.27,1.0,631.09,271.0,31.18,48.75,982.01
2024-01-02 16:00:00,95.45,83.65,17.49,0.946,603.46,238.2,43.44,63.78,948.88
2024-01-02 17:00:00,87.7,78.08,17.89,0.87,552.46,226.34,32.67,64.19,875.66
2024-01-02 18:00:00,84.54,84.75,15.08,0.904,544.45,235.69,32.93,56.97,870.04
2024-01-02 19:00:00,85.81,86.08,18.64,0.917,559.89,232.41,43.58,56.73,892.61
2024-01-02 20:00:00,86.59,85.29,14.41,0.895,540.77,239.09,35.57,58.06,873.49
2024-01-02 21:00:00,97.12,78.49,15.61,0.783,604.33,235.67,31.69,58.8,930.5
2024-01-02 22:00:00,105.66,88.49,17.15,0.848,650.58,247.18,45.35,57.2,1000.32
2024-01-02 23:00:00,117.22,98.46,14.32,0.984,706.17,273.45,37.45,65.4,1082.47
