Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,timestamp,hour,dayofweek,is_weekend,month,usage_lag_1step,usage_lag_1day,usage_roll_mean_1day
4.61,4.21,0.0,0.0,73.84,100.0,0,Weekday,Tuesday,Light_Load,2018-01-02 00:00:00,0,1,0,1,3.67,3.42,3.677604166666667
3.2,3.1,0.0,0.0,71.82,100.0,900,Weekday,Tuesday,Light_Load,2018-01-02 00:15:00,0,1,0,1,4.61,3.17,3.677916666666667
3.85,4.61,0.0,0.0,64.1,100.0,1800,Weekday,Tuesday,Light_Load,2018-01-02 00:30:00,0,1,0,1,3.2,4.0,3.6763541666666666
3.28,3.67,0.0,0.0,66.64,100.0,2700,Weekday,Tuesday,Light_Load,2018-01-02 00:45:00,0,1,0,1,3.85,3.24,3.6767708333333338
3.35,3.6,0.0,0.0,68.12,100.0,3600,Weekday,Tuesday,Light_Load,2018-01-02 01:00:00,1,1,0,1,3.28,3.31,3.6771875
3.89,4.72,0.0,0.0,63.6,100.0,4500,Weekday,Tuesday,Light_Load,2018-01-02 01:15:00,1,1,0,1,3.35,3.82,3.677916666666667
3.28,3.53,0.0,0.0,68.07,100.0,5400,Weekday,Tuesday,Light_Load,2018-01-02 01:30:00,1,1,0,1,3.89,3.28,3.6779166666666665
3.46,3.96,0.0,0.0,65.8,100.0,6300,Weekday,Tuesday,Light_Load,2018-01-02 01:45:00,1,1,0,1,3.28,3.6,3.676458333333333
3.78,4.82,0.0,0.0,61.71,100.0,7200,Weekday,Tuesday,Light_Load,2018-01-02 02:00:00,2,1,0,1,3.46,3.6,3.6783333333333332
3.31,3.53,0.0,0.0,68.4,100.0,8100,Weekday,Tuesday,Light_Load,2018-01-02 02:15:00,2,1,0,1,3.78,3.28,3.678645833333333
3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,Tuesday,Light_Load,2018-01-02 02:30:00,2,1,0,1,3.31,3.78,3.6767708333333338
3.64,4.39,0.0,0.0,63.83,100.0,9900,Weekday,Tuesday,Light_Load,2018-01-02 02:45:00,2,1,0,1,3.6,3.46,3.678645833333334
3.28,3.71,0.0,0.0,66.24,100.0,10800,Weekday,Tuesday,Light_Load,2018-01-02 03:00:00,3,1,0,1,3.64,3.24,3.6790625
3.71,4.57,0.0,0.0,63.03,100.0,11700,Weekday,Tuesday,Light_Load,2018-01-02 03:15:00,3,1,0,1,3.28,3.96,3.676458333333333
3.56,4.03,0.0,0.0,66.21,100.0,12600,Weekday,Tuesday,Light_Load,2018-01-02 03:30:00,3,1,0,1,3.71,3.31,3.6790625
3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,Tuesday,Light_Load,2018-01-02 03:45:00,3,1,0,1,3.56,3.31,3.6783333333333332
3.89,4.64,0.0,0.0,64.25,100.0,14400,Weekday,Tuesday,Light_Load,2018-01-02 04:00:00,4,1,0,1,3.24,3.89,3.6783333333333332
3.28,3.42,0.0,0.0,69.22,100.0,15300,Weekday,Tuesday,Light_Load,2018-01-02 04:15:00,4,1,0,1,3.89,3.28,3.6783333333333332
3.28,3.49,0.0,0.0,68.48,100.0,16200,Weekday,Tuesday,Light_Load,2018-01-02 04:30:00,4,1,0,1,3.28,3.56,3.675416666666667
3.96,4.68,0.0,0.0,64.59,100.0,17100,Weekday,Tuesday,Light_Load,2018-01-02 04:45:00,4,1,0,1,3.28,3.74,3.6777083333333334
3.24,3.42,0.0,0.0,68.77,100.0,18000,Weekday,Tuesday,Light_Load,2018-01-02 05:00:00,5,1,0,1,3.96,3.31,3.676979166666667
3.46,3.78,0.0,0.0,67.52,100.0,18900,Weekday,Tuesday,Light_Load,2018-01-02 05:15:00,5,1,0,1,3.24,3.56,3.6759375
3.67,4.07,0.0,0.0,66.97,100.0,19800,Weekday,Tuesday,Light_Load,2018-01-02 05:30:00,5,1,0,1,3.46,3.56,3.6770833333333335
3.24,3.42,0.0,0.0,68.77,100.0,20700,Weekday,Tuesday,Light_Load,2018-01-02 05:45:00,5,1,0,1,3.67,3.28,3.676666666666667
3.67,3.96,0.0,0.0,67.97,100.0,21600,Weekday,Tuesday,Light_Load,2018-01-02 06:00:00,6,1,0,1,3.24,3.78,3.675520833333333
3.53,3.78,0.0,0.0,68.25,100.0,22500,Weekday,Tuesday,Light_Load,2018-01-02 06:15:00,6,1,0,1,3.67,3.35,3.6773958333333336
3.2,3.24,0.0,0.0,70.27,100.0,23400,Weekday,Tuesday,Light_Load,2018-01-02 06:30:00,6,1,0,1,3.53,3.24,3.676979166666667
3.78,4.07,0.0,0.0,68.05,100.0,24300,Weekday,Tuesday,Light_Load,2018-01-02 06:45:00,6,1,0,1,3.2,3.89,3.6758333333333333
3.35,3.35,0.0,0.0,70.71,100.0,25200,Weekday,Tuesday,Light_Load,2018-01-02 07:00:00,7,1,0,1,3.78,3.31,3.67625
3.53,3.49,0.0,0.0,71.11,100.0,26100,Weekday,Tuesday,Light_Load,2018-01-02 07:15:00,7,1,0,1,3.35,3.28,3.678854166666667
6.3,4.57,0.0,0.0,80.95,100.0,27000,Weekday,Tuesday,Light_Load,2018-01-02 07:30:00,7,1,0,1,3.53,3.85,3.7043749999999993
6.05,4.79,0.0,0.0,78.4,100.0,27900,Weekday,Tuesday,Light_Load,2018-01-02 07:45:00,7,1,0,1,6.3,3.2,3.7340625
6.73,4.54,0.0,0.0,82.9,100.0,28800,Weekday,Tuesday,Light_Load,2018-01-02 08:00:00,8,1,0,1,6.05,3.31,3.7696875
29.02,18.83,0.07,0.0,83.89,100.0,29700,Weekday,Tuesday,Light_Load,2018-01-02 08:15:00,8,1,0,1,6.73,3.78,4.032604166666666
46.19,28.66,0.0,0.0,84.97,100.0,30600,Weekday,Tuesday,Light_Load,2018-01-02 08:30:00,8,1,0,1,29.02,3.28,4.479583333333333
52.06,35.32,0.0,0.0,82.75,100.0,31500,Weekday,Tuesday,Light_Load,2018-01-02 08:45:00,8,1,0,1,46.19,3.49,4.985520833333333
56.2,12.53,0.11,0.0,97.6,100.0,32400,Weekday,Tuesday,Light_Load,2018-01-02 09:00:00,9,1,0,1,52.06,3.89,5.5304166666666665
56.84,8.32,0.0,0.0,98.95,100.0,33300,Weekday,Tuesday,Medium_Load,2018-01-02 09:15:00,9,1,0,1,56.2,3.6,6.085
51.26,4.54,0.94,0.0,99.61,99.98,34200,Weekday,Tuesday,Medium_Load,2018-01-02 09:30:00,9,1,0,1,56.84,4.03,6.576979166666667
48.13,2.34,1.15,0.0,99.88,99.97,35100,Weekday,Tuesday,Medium_Load,2018-01-02 09:45:00,9,1,0,1,51.26,3.92,7.0375000000000005
52.81,7.06,0.54,0.0,99.12,99.99,36000,Weekday,Tuesday,Medium_Load,2018-01-02 10:00:00,10,1,0,1,48.13,3.64,7.549687500000001
54.79,7.52,0.14,0.0,99.07,100.0,36900,Weekday,Tuesday,Maximum_Load,2018-01-02 10:15:00,10,1,0,1,52.81,4.07,8.078020833333333
53.21,8.35,0.11,0.0,98.79,100.0,37800,Weekday,Tuesday,Maximum_Load,2018-01-02 10:30:00,10,1,0,1,54.79,3.71,8.593645833333333
80.21,32.4,0.0,0.0,92.72,100.0,38700,Weekday,Tuesday,Maximum_Load,2018-01-02 10:45:00,10,1,0,1,53.21,3.6,9.391666666666667
77.58,25.49,0.0,0.0,95.0,100.0,39600,Weekday,Tuesday,Maximum_Load,2018-01-02 11:00:00,11,1,0,1,80.21,4.21,10.1559375
128.52,70.85,0.0,0.0,87.57,100.0,40500,Weekday,Tuesday,Maximum_Load,2018-01-02 11:15:00,11,1,0,1,77.58,3.49,11.458333333333334
129.37415000000001,78.48,0.0,0.0,87.87,100.0,41400,Weekday,Tuesday,Maximum_Load,2018-01-02 11:30:00,11,1,0,1,128.52,3.46,12.7699390625
90.86,54.29,0.0,0.0,85.84,100.0,42300,Weekday,Tuesday,Maximum_Load,2018-01-02 11:45:00,11,1,0,1,129.37415000000001,4.0,13.674730729166667
123.3,66.06,0.0,0.0,88.15,100.0,43200,Weekday,Tuesday,Maximum_Load,2018-01-02 12:00:00,12,1,0,1,90.86,3.49,14.922751562499998
19.22,5.54,18.9,0.0,96.09,71.3,44100,Weekday,Tuesday,Medium_Load,2018-01-02 12:15:00,12,1,0,1,123.3,3.6,15.085459895833333
8.46,0.0,25.92,0.0,100.0,31.03,45000,Weekday,Tuesday,Medium_Load,2018-01-02 12:30:00,12,1,0,1,19.22,4.25,15.1293140625
8.24,0.0,25.34,0.0,100.0,30.92,45900,Weekday,Tuesday,Medium_Load,2018-01-02 12:45:00,12,1,0,1,8.46,3.67,15.176918229166667
8.03,0.0,25.49,0.0,100.0,30.05,46800,Weekday,Tuesday,Medium_Load,2018-01-02 13:00:00,13,1,0,1,8.24,3.67,15.222334895833333
79.67,27.29,6.52,0.0,94.6,99.67,47700,Weekday,Tuesday,Medium_Load,2018-01-02 13:15:00,13,1,0,1,8.03,4.25,16.007959895833334
97.85,46.8,0.0,0.0,90.21,100.0,48600,Weekday,Tuesday,Medium_Load,2018-01-02 13:30:00,13,1,0,1,79.67,3.64,16.9893140625
124.45,49.79,0.0,0.0,92.85,100.0,49500,Weekday,Tuesday,Medium_Load,2018-01-02 13:45:00,13,1,0,1,97.85,3.67,18.2474390625
108.61,43.34,0.0,0.0,92.88,100.0,50400,Weekday,Tuesday,Medium_Load,2018-01-02 14:00:00,14,1,0,1,124.45,4.28,19.334209895833332
123.12,55.26,0.0,0.0,91.23,100.0,51300,Weekday,Tuesday,Medium_Load,2018-01-02 14:15:00,14,1,0,1,108.61,3.64,20.578793229166667
129.1,53.5,0.0,0.0,92.38,100.0,52200,Weekday,Tuesday,Medium_Load,2018-01-02 14:30:00,14,1,0,1,123.12,3.78,21.884209895833333
82.08,27.58,0.0,0.0,94.79,100.0,53100,Weekday,Tuesday,Medium_Load,2018-01-02 14:45:00,14,1,0,1,129.1,4.1,22.6965015625
