Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,timestamp,hour,dayofweek,is_weekend,month,usage_lag_1step,usage_lag_1day,usage_roll_mean_1day
128.52,70.85,0.0,0.0,87.57,100.0,40500,Weekday,Tuesday,Maximum_Load,2018-01-02 11:15:00,11,1,0,1,77.58,3.49,11.458333333333334
129.37415,78.48,0.0,0.0,87.87,100.0,41400,Weekday,Tuesday,Maximum_Load,2018-01-02 11:30:00,11,1,0,1,128.52,3.46,12.7699390625
123.3,66.06,0.0,0.0,88.15,100.0,43200,Weekday,Tuesday,Maximum_Load,2018-01-02 12:00:00,12,1,0,1,90.86,3.49,14.922751562499998
124.45,49.79,0.0,0.0,92.85,100.0,49500,Weekday,Tuesday,Medium_Load,2018-01-02 13:45:00,13,1,0,1,97.85,3.67,18.2474390625
108.61,43.34,0.0,0.0,92.88,100.0,50400,Weekday,Tuesday,Medium_Load,2018-01-02 14:00:00,14,1,0,1,124.45,4.28,19.33420989583333
123.12,55.26,0.0,0.0,91.23,100.0,51300,Weekday,Tuesday,Medium_Load,2018-01-02 14:15:00,14,1,0,1,108.61,3.64,20.578793229166667
129.1,53.5,0.0,0.0,92.38,100.0,52200,Weekday,Tuesday,Medium_Load,2018-01-02 14:30:00,14,1,0,1,123.12,3.78,21.884209895833333
129.37415,60.91,0.0,0.0,92.09,100.0,54000,Weekday,Tuesday,Medium_Load,2018-01-02 15:00:00,15,1,0,1,82.08,3.64,24.006232291666667
129.37415,62.57,0.0,0.0,91.45,100.0,55800,Weekday,Tuesday,Medium_Load,2018-01-02 15:30:00,15,1,0,1,86.9,4.1,26.17554635416667
116.53,52.88,0.0,0.0,91.06,100.0,56700,Weekday,Tuesday,Medium_Load,2018-01-02 15:45:00,15,1,0,1,129.37415,3.6,27.35190052083333
